5 63.081230408 80.3990272839 82.6637418854
10 71.9512195122 88.7203616167 91.0691476545
15 73.4146341463 89.8267721438 92.6015447967
20 76.5736034188 90.1759960906 92.3020236578
25 76.902945486 90.8565824419 92.3749723893
30 76.902945486 90.6570259009 92.7160946817
35 76.902945486 91.0272857224 92.7530495967
40 76.7335214141 90.878755391 92.3527994403
45 76.7335214141 90.878755391 92.5091471576
50 76.902945486 90.878755391 92.642371179
55 76.7335214141 90.7224076736 92.3527994403
60 76.7335214141 90.8932733933 92.4860234616
