5129.0986   -647.8606    789.1319     62.7265    333.4406   -545.9844    232.4042   -252.4590    276.5366    133.3846
   -647.8606   5020.1616   -762.3657    169.9152   -539.6909   -251.1394    148.4404   -471.6485   -246.9131    375.0545
    789.1319   -762.3657   5198.6072      8.9446    503.5755    602.9090    -23.1427   -242.4762   -136.1745    142.9695
     62.7265    169.9152      8.9446   4834.0469    360.1115   -340.9527    807.3418    161.7426    112.9701     -8.8347
    333.4406   -539.6909    503.5755    360.1115   5701.9615   1311.1993   -541.6920    260.6588    347.6509   -351.3893
   -545.9844   -251.1394    602.9090   -340.9527   1311.1993   5728.7163    304.6649    486.5630    178.4695    412.6749
    232.4042    148.4404    -23.1427    807.3418   -541.6920    304.6649   5612.4827    691.7638   -467.9976   -301.6398
   -252.4590   -471.6485   -242.4762    161.7426    260.6588    486.5630    691.7638   4458.4077   -490.3261   -563.7426
    276.5366   -246.9131   -136.1745    112.9701    347.6509    178.4695   -467.9976   -490.3261   4706.0954    409.8077
    133.3846    375.0545    142.9695     -8.8347   -351.3893    412.6749   -301.6398   -563.7426    409.8077   5363.5721
